medication_name,medication_category
Metformin,Diabetes
Lisinopril,Cardiovascular
Atorvastatin,Cardiovascular
Metoprolol,Cardiovascular
Omeprazole,Gastrointestinal
Amlodipine,Cardiovascular
Hydrochlorothiazide,Cardiovascular
Simvastatin,Cardiovascular
Losartan,Cardiovascular
Albuterol,Respiratory
Levothyroxine,Endocrine
Gabapentin,Neurological
Hydrocodone,Pain Management
Tramadol,Pain Management
Furosemide,Cardiovascular
Pantoprazole,Gastrointestinal
Sertraline,Mental Health
Trazodone,Mental Health
Montelukast,Respiratory
Clonazepam,Neurological
